Timestamp,Age,Ville,Sexe,  specialite_BAC, Nationale ,Regional,Generale,Francais, Anglais,Loisirs,preferee ,detestee ,Skills,specialite,performance,satisfaction,  Quelle est votre filière d cette specialite ?  
,18,el hajeb,Homme,SE,10.15,13.45,11.77,Intermediaire,Avance,"Musique, Jeux video, Arts plastiques ",Art,Histoire,"Creativite, Esprit critique, Aghlab hadchy maandish w 3ndi rohab jtima3i hhhhh",Economie,3,2,
,20,fes,Homme,SP,14.05,10.75,14.50,Intermediaire,Avance,"Musique, Jeux video, Technologie , Photographie",Informatique,Physique,"Resolution de problèmes, Esprit critique",Informatique,9,5,
,20,fes,Homme,STE,15.76,16.55,15.75,Avance,Avance,"Sport, Jeux video, Technologie ",Informatique,Histoire,"Gestion du temps, Leadership",Informatique,8,5,
,22,fes,Femme,SP,16.77,15.65,16.67,Avance,Avance,"Arts plastiques , Benevolat, Photographie",Mathematiques,Histoire,"Travail en equipe, Gestion du temps, Creativite, Autonomie",Ingenierie,9,5,
,18,fes,Femme,SP,13.56,16.20,15.33,Avance,Intermediaire,"Sport, Voyage, Arts plastiques ",Informatique,None,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Informatique,7,5,
,22,fes,Homme,SM,10.92,13.90,12.65,Intermediaire,Intermediaire,"Sport, Voyage, Technologie , Photographie",Informatique,Biologie,"Travail en equipe, Resolution de problèmes, Empathie",Informatique,7,3,
,26,fes,Homme,SP,14.52,13.90,14.77,Fluent,Avance,"Sport, Voyage, Jeux video, Benevolat",Mathematiques,None,"Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problèmes, Leadership, Autonomie",Ingenierie,9,4,
,24,fes,Femme,SP,19.21,17.75,18.60,Intermediaire,Debutant,"Lecture, Ecriture",Medecine ,None,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Empathie",Medecine,8,5,
,19,fes,Femme,SP,10.49,14.80,13.27,Intermediaire,Debutant,"Lecture, Musique, Voyage",Comptabilite ,None,"Communication, Travail en equipe, Esprit critique",Economie,5,3,
,19,fes,Femme,SM,11.90,18.60,15.42,Fluent,Fluent,"Lecture, Musique, Voyage, Arts plastiques , Ecriture, Photographie",Biologie,None,"Communication, Travail en equipe, Adaptabilite, Creativite, Leadership, Esprit critique, Autonomie",Informatique,6,5,
,18,fes,Homme,SP,14.48,14.75,14.86,Intermediaire,Intermediaire,Jeux video,Biologie,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Esprit critique",Medecine,10,5,
,20,fes,Femme,SM,13.00,17.90,15.36,Avance,Avance,"Lecture, Musique, Voyage, Arts plastiques , Technologie , Ecriture, Photographie",Biologie,Histoire,"Communication, Gestion du temps, Adaptabilite, Leadership, Empathie, Esprit critique, Autonomie",Medecine,8,5,
,31,fes,Femme,SM,12.50,12.00,12.50,Fluent,Intermediaire,"Sport, Jeux video",Informatique,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Leadership, Esprit critique",Informatique,8,4,
,20,fes,Homme,SM,9.31,17.50,13.27,Avance,Avance,"Lecture, Sport, Musique, Voyage, Cinema, Jeux video, Arts plastiques , Technologie , Ecriture, Photographie",Physique,None,"Adaptabilite, Resolution de problèmes, Esprit critique, Autonomie",Ingenierie,2,5,
,19,fes,Homme,SP,13.50,16.90,14.60,Intermediaire,Intermediaire,"Sport, Musique, Jeux video, Technologie ",Informatique,Mathematiques,"Communication, Travail en equipe, Creativite",Informatique,6,5,
,19,fes,Homme,SP,12.66,16.50,15.00,Intermediaire,Intermediaire,"Sport, Musique, Voyage",Physique,Litterature,"Communication, Esprit critique, Autonomie",Informatique,3,2,
,19,fes,Femme,SP,12.01,16.97,14.10,Avance,Intermediaire,"Lecture, Musique, Voyage, Jeux video, Arts plastiques , Technologie ",Informatique,Biologie,"Communication, Adaptabilite, Esprit critique",Informatique,7,4,
,20,fes,Homme,SP,14.50,15.50,15.00,Intermediaire,Intermediaire,"Lecture, Sport",Informatique,None,"Travail en equipe, Resolution de problèmes, Esprit critique",Informatique,8,5,
,24,fes,Femme,SP,15.84,11.08,14.65,Intermediaire,Intermediaire,"Lecture, Sport, Musique, Voyage, Technologie ",Mathematiques,Histoire,"Travail en equipe, Adaptabilite, Resolution de problèmes, Leadership, Empathie",Ingenierie,8,4,
,25,fes,Femme,SP,12.20,14.85,11.60,Intermediaire,Debutant,Arts plastiques ,Langues,Physique,Creativite,Arts et design,7,5,
,23,fes,Homme,SP,13.50,13.50,13.50,Avance,Intermediaire,"Sport, Musique, Voyage, Cinema, Jeux video",Informatique,Biologie,"Empathie, Esprit critique",Physique,7,2,
,19,fes,Femme,SP,12.14,14.43,14.02,Intermediaire,Avance,"Lecture, Musique, Cinema",Informatique,Histoire,Communication,Informatique,5,3,
,19,fes,Femme,STM,13.00,14.70,13.00,Avance,Avance,"Lecture, Musique, Voyage, Technologie , Photographie",Mathematiques,None,"Communication, Travail en equipe, Creativite, Resolution de problèmes, Leadership",Ingenierie,8,5,
,16,fes,Femme,SM,16.00,17.50,16.00,Avance,Avance,"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat, Technologie , Photographie",Chimie,None,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Ingenierie,8,4,
,21,fes,Femme,SP,15.17,17.10,16.13,Avance,Avance,"Arts plastiques , Technologie ",Informatique,Histoire,Travail en equipe,Ingenierie,8,4,
,21,fes,Homme,SE,14.00,14.00,15.00,Avance,Avance,"Sport, Jeux video, Benevolat",Histoire,Mathematiques,"Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problèmes, Leadership",Economie,7,4,
,20,fes,Homme,SM,16.00,19.15,17.59,Avance,Avance,"Sport, Musique, Jeux video, Ecriture",Physique,None,"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique",Ingenierie,7,4,
,18,fes,Femme,SP,16.89,17.75,16.34,Intermediaire,Debutant,"Musique, Benevolat, Photographie",Langues,Biologie,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Economie,7,4,
,25,fes,Homme,SVT,12.70,16.50,12.00,Fluent,Fluent,"Lecture, Sport, Musique, Voyage, Ecriture",Biologie,Mathematiques,"Communication, Travail en equipe, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Droit,6,3,
,18,fes,Femme,SM,11.27,17.45,14.57,Fluent,Intermediaire,"Voyage, Benevolat, Ecriture, Debat - public speaking ",Mathematiques,Informatique,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Empathie, Esprit critique, Autonomie",Economie,8,4,
,20,fes,Femme,SP,10.00,16.00,13.00,Avance,Intermediaire,"Sport, Voyage, Cinema, Photographie",Physique,Mathematiques,"Communication, Travail en equipe, Creativite, Leadership",Economie,7,5,
,28,fes,Homme,SVT,13.00,15.00,14.00,Intermediaire,Fluent,"Lecture, Cinema, Jeux video",Langues,Physique,"Gestion du temps, Adaptabilite, Leadership",Sciences humaines et sociales,7,5,
,23,fes,Homme,SP,13.50,15.50,13.00,Avance,Intermediaire,"Lecture, Sport, Musique, Voyage, Photographie",Physique,Mathematiques,"Communication, Travail en equipe, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingenierie,6,4,
,18,fes,Femme,SE,15.58,16.98,16.00,Avance,Intermediaire,"Voyage, Jeux video, Arts plastiques , Photographie",Informatique,Mathematiques,"Travail en equipe, Adaptabilite, Autonomie",Economie,7,4,
,18,fes,Femme,SP,14.20,16.15,15.76,Avance,Intermediaire,"Lecture, Musique, Voyage",Mathematiques,Biologie,"Travail en equipe, Gestion du temps, Adaptabilite",Economie,8,4,
,18,fes,Homme,SM,11.50,15.80,12.42,Avance,Fluent,"Sport, Jeux video, Technologie ",Mathematiques,Philosophie ,"Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie, Za wordo",Economie,7,2,
,18,fes,Femme,SP,14.58,17.10,16.06,Avance,Intermediaire,"Lecture, Musique, Photographie",Biologie,Mathematiques,"Travail en equipe, Gestion du temps, Esprit critique",Economie,7,4,
,18,fes,Femme,SP,15.76,16.35,16.63,Avance,Intermediaire,"Musique, Voyage, Cinema",Biologie,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique, Autonomie",Economie,5,2,
,18,fes,Homme,SM,12.50,18.00,15.50,Avance,Intermediaire,"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat",Physique,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Economie,8,3,
,19,fes,Femme,SP,14.35,16.50,15.31,Avance,Intermediaire,"Sport, Musique, Voyage, Technologie , Photographie",Mathematiques,Histoire,"Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Autonomie",Economie,8,5,
,21,fes,Homme,SP,14.75,18.20,16.53,Intermediaire,Intermediaire,"Sport, Musique, Jeux video, Technologie ",Informatique,Mathematiques,"Travail en equipe, Adaptabilite, Esprit critique",Ingenierie,7,4,Robotique
,18,fes,Femme,SP,12.00,17.30,14.50,Avance,Intermediaire,"Sport, Musique, Voyage, Photographie",Informatique,None,"Communication, Travail en equipe, Resolution de problèmes, Esprit critique, Autonomie",Informatique,7,5,Ingenieurie des donnees 
,21,fès,Homme,SP,15.28,16.50,16.41,Avance,Avance,"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat",Politiques internationales et publiques,None,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique",Sciences politiques,8,4,
,23,fes ,Femme,SP,16.49,17.68,17.06,Fluent,Intermediaire,"Musique, Voyage",Physique,None,"Communication, Travail en equipe, Gestion du temps, Leadership, Autonomie",Ingenierie,9,5,
,19,fez,Homme,SM,15.00,17.00,16.67,Fluent,Avance,"Lecture, Sport, Voyage, Jeux video, Arts plastiques , Technologie ",Histoire,Physique,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Esprit critique, Autonomie",Economie,8,5,
,32,immouzzer ,Femme,SP,12.40,10.00,11.80,Avance,Intermediaire,"Lecture, Sport, Cuisson",Physique,Chimie,"Resolution de problèmes, Esprit critique",Physique,7,4,
,31,khenifra,Femme,SP,12.00,14.05,13.49,Avance,Intermediaire,"Lecture, Sport, Musique, Voyage",Physique,Biologie,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes",Physique,7,2,
,24,khouribga,Femme,SP,17.00,17.00,17.00,Avance,Avance,"Lecture, Musique, Technologie ",Informatique,Physique,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership, Autonomie",Informatique,9,5,
,25,khouribga ,Femme,SP,12.00,16.90,13.23,Avance,Intermediaire,"Musique, Voyage, Cinema, Photographie",Biologie,None,"Creativite, Empathie, Autonomie",Biologie,7,3,
,18,ksar el kebir,Femme,SM,14.00,17.85,16.26,Avance,Intermediaire,"Lecture, Sport, Voyage, Benevolat, Technologie ",Mathematiques,Physique,"Communication, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Autonomie",Ingenierie,8,5,
,30,larache,Femme,SE,15.00,6.86,11.45,Intermediaire,Intermediaire,Cinema,Physique,Mathematiques,Resolution de problèmes,Economie,8,4,
,21,larache,Femme,SP,13.89,16.25,15.75,Avance,Intermediaire,"Musique, Voyage, Cinema",Langues,Histoire,"Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership",Informatique,1,2,
,18,marrakech,Femme,SP,14.00,14.60,15.00,Intermediaire,Intermediaire,"Lecture, Voyage, Benevolat, Technologie ",Informatique,Biologie,"Adaptabilite, Creativite, Esprit critique",Informatique,4,4,
,21,marrakech,Homme,SP,14.25,16.25,15.25,Intermediaire,Intermediaire,,Informatique,Mathematiques,Adaptabilite,Informatique,7,5,Systèmes d'Informations Repartis
,22,marrakech ,Homme,SP,12.00,15.25,13.71,Intermediaire,Avance,"Sport, Voyage, Technologie ",Informatique,Physique,"Adaptabilite, Creativite, Resolution de problèmes",Informatique,4,5,
,17,marrakech ,Homme,SP,15.55,16.65,16.71,Avance,Intermediaire,"Lecture, Cinema, Arts plastiques ",Biologie,Mathematiques,Communication,Biologie,4,1,
,20,marrakech ,Homme,SP,13.27,16.90,15.27,Intermediaire,Debutant,"Sport, Voyage",Physique,None,"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique, Autonomie",Medecine,9,5,Technicien de radiologie medicale 
,19,meknes,Homme,SP,15.14,13.50,15.04,Intermediaire,Debutant,"Sport, Jeux video, Arts plastiques , Technologie ",Informatique,Langues,"Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes",Informatique,6,4,
,20,meknes,Homme,SP,14.27,15.20,15.58,Intermediaire,Intermediaire,"Lecture, Musique, Jeux video",Informatique,Langues,"Adaptabilite, Empathie, Autonomie",Informatique,8,5,
,31,meknes,Homme,SM,12.50,10.50,11.85,Intermediaire,Intermediaire,"Sport, Technologie ",Mathematiques,Litterature,Leadership,Ingenierie,7,4,
,25,meknes,Femme,SP,10.00,17.00,13.00,Fluent,Avance,"Lecture, Benevolat, Ecriture",Chimie,Mathematiques,"Adaptabilite, Creativite, Autonomie",Biologie,8,5,
,22,meknes,Homme,SP,11.00,15.75,13.37,Avance,Intermediaire,"Voyage, Jeux video, Benevolat",Biologie,Mathematiques,"Communication, Travail en equipe, Gestion du temps",Droit,9,5,
,31,meknes ,Femme,SP,17.40,13.40,16.11,Avance,Intermediaire,Dormir,Chimie,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Empathie, Autonomie",Chimie,8,4,
,19,meknes ,Femme,SE,16.18,15.63,16.45,Intermediaire,Intermediaire,auto sport ,comptabilite ,Langues,"Travail en equipe, Gestion du temps, Resolution de problèmes, Esprit critique, Autonomie",Economie,7,5,
,20,midelt,Femme,SP,15.37,15.95,15.77,Avance,Intermediaire,"Lecture, Musique, Voyage",Informatique,Histoire,Resolution de problèmes,Reseau,9,4,
,20,midelt ,Homme,SP,16.47,16.50,16.70,Avance,Intermediaire,"Sport, Voyage, Jeux video, Technologie ",Physique,Mathematiques,"Communication, Travail en equipe, Gestion du temps, Creativite, Esprit critique",Informatique,7,3,
,22,mohammedia,Femme,SP,15.60,13.60,15.64,Intermediaire,Intermediaire,"Lecture, Sport, Voyage, Arts plastiques ",Mathematiques,None,"Adaptabilite, Creativite",Physique,5,2,
,20,mohammedia,Homme,SM,12.35,18.50,14.89,Intermediaire,Intermediaire,"Musique, Cinema, Technologie ",Informatique,Chimie,"Travail en equipe, Adaptabilite, Esprit critique",Ingenierie,6,2,
,20,mohammedia ,Homme,SP,13.00,14.80,14.00,Avance,Debutant,Sport,Physique,Litterature,"Travail en equipe, Gestion du temps, Autonomie",Ingenierie,6,4,
,33,mrirt,Femme,SP,12.00,10.00,11.00,Avance,Intermediaire,"Lecture, Sport, Voyage, Arts plastiques , Technologie , Ecriture",Histoire,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Chimie,10,4,
,19,nador,Femme,SP,10.98,15.00,13.16,Intermediaire,Intermediaire,Ecriture,Chimie,None,"Communication, Gestion du temps, Resolution de problèmes",Chimie,8,5,
,18,nador,Homme,SP,13.00,14.00,14.00,Intermediaire,Intermediaire,"Musique, Jeux video, Technologie ",Informatique,Biologie,Gestion du temps,Informatique,8,4,
,23,ouazzane ,Homme,SP,18.03,13.50,16.81,Intermediaire,Intermediaire,"Lecture, Musique",Physique,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Ingenierie,8,5,
,19,ouezzane ,Homme,SP,13.60,17.75,15.41,Intermediaire,Intermediaire,"Sport, Jeux video, Arts plastiques , Ecriture, Chess",Mathematiques,Biologie,"Creativite, Resolution de problèmes, Leadership, Esprit critique",Economie,4,2,
,19,oujda,Femme,SP,12.10,13.00,12.10,Avance,Avance,"Lecture, Sport, Musique, Voyage, Cinema, Arts plastiques , Technologie ",Mathematiques,Biologie,"Creativite, Resolution de problèmes, Leadership",education,9,3,
,22,oujda,Homme,STE,14.34,15.30,14.58,Avance,Avance,"Sport, Musique, Jeux video, One piece",Physique,Litterature,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie",Ingenierie,8,4,
,22,oujda,Homme,SP,12.00,9.96,12.93,Debutant,Intermediaire,"Sport, Voyage, Cinema, Jeux video, Benevolat, Photographie",Informatique,Mathematiques,"Travail en equipe, Adaptabilite, Esprit critique",Physique,5,1,
,20,oujda,Femme,SP,16.00,17.00,16.00,Avance,Avance,"Cinema, Photographie",Biologie,Mathematiques,"Communication, Gestion du temps, Adaptabilite, Leadership",Economie,7,3,
,25,oujda,Femme,SP,11.00,13.50,12.78,Avance,Avance,"Lecture, Photographie",Langues,None,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Informatique,4,3,
,43,qatar ,Homme,Lettres,12.00,13.00,11.82,Avance,Intermediaire,"Lecture, Sport, Musique, Voyage, Cinema, Photographie",Philosophie et litterature ,Toutes les matières scientifiques ,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Sciences humaines et sociales,8,5,
,22,rabat,Homme,SP,16.02,10.65,14.38,Avance,Intermediaire,"Lecture, Voyage, Cinema",Physique,None,"Communication, Travail en equipe, Esprit critique",Physique,9,5,
,24,rabat,Femme,SP,16.98,13.90,16.14,Avance,Avance,"Lecture, Musique, Voyage, Cinema, Jeux video, Benevolat, Technologie , Ecriture, Photographie",Mathematiques,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingenierie,10,5,
,23,rabat,Homme,SM,11.00,14.00,12.00,Avance,Avance,"Musique, Voyage, Jeux video, Technologie ",Mathematiques,Biologie,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Autonomie",Informatique,9,5,
,22,rabat,Homme,SP,12.00,12.00,12.64,Intermediaire,Avance,"Musique, Voyage, Jeux video, Benevolat, Photographie",Langues,Physique,"Communication, Travail en equipe, Leadership",Economie,7,5,
,20,rabat,Femme,SP,17.00,18.00,18.00,Avance,Intermediaire,"Lecture, Arts plastiques , Benevolat, Ecriture","Mathematiques,Litterature,Langues,Histoire",None,"Adaptabilite, Creativite, Resolution de problèmes, Esprit critique, Autonomie",Ingenierie,7,4,
,24,rabat,Femme,SP,15.01,16.31,15.51,Avance,Intermediaire,"Voyage, Arts plastiques , Benevolat, Technologie ",Informatique,Histoire,"Communication, Travail en equipe, Gestion du temps, Creativite, Leadership",Economie,8,5,
,21,rabat,Homme,SP,13.16,15.30,14.61,Intermediaire,Avance,"Musique, Voyage, Cinema, Jeux video, Technologie , Photographie",Informatique,Litterature,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Informatique,9,5,
,28,rabat,Femme,SP,14.00,16.00,14.00,Avance,Intermediaire,"Sport, Voyage, Benevolat, Photographie",Biologie,Physique,"Communication, Creativite, Resolution de problèmes, Empathie",Biologie,6,3,
,24,rabat,Femme,SM,14.00,16.00,15.00,Avance,Debutant,"Lecture, Ecriture",Litterature,Histoire,"Travail en equipe, Gestion du temps",Ingenierie,8,4,
,21,rabat,Femme,SP,17.00,17.00,17.80,Avance,Intermediaire,"Lecture, Sport, Voyage, Benevolat, Technologie , Photographie",Informatique,Histoire,"Communication, Travail en equipe, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingenierie,8,4,
,18,rabat,Homme,SE,12.52,15.95,14.08,Intermediaire,Avance,"Sport, Musique, Voyage",Histoire,Mathematiques,"Travail en equipe, Leadership, Empathie",Economie,8,5,
,23,rabat,Homme,SP,12.88,13.10,12.80,Debutant,Debutant,"Sport, Voyage, Jeux video, Technologie ",Informatique,Informatique,Gestion du temps,Informatique,8,5,
,21,rabat ,Femme,SM,12.75,16.17,14.75,Avance,Intermediaire,"Sport, Voyage, Arts plastiques , Photographie",Mathematiques,Histoire,"Communication, Travail en equipe, Gestion du temps, Creativite, Leadership",Ingenierie,8,4,
,18,rabat ,Femme,SVT,7.60,16.90,12.54,Intermediaire,Intermediaire,"Lecture, Sport, Musique",Histoire,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Creativite, Leadership, Empathie",Economie,4,2,
,19,rich,Homme,SP,12.00,15.00,14.00,Intermediaire,Intermediaire,"Sport, Musique, Voyage, Jeux video",Informatique,Litterature,"Travail en equipe, Resolution de problèmes",Informatique,7,5,
,18,safi,Homme,SP,17.20,16.80,17.32,Avance,Intermediaire,"Sport, Cinema, Jeux video",Physique,None,"Communication, Resolution de problèmes, Leadership",Medecine,8,5,
,21,safi,Homme,SP,12.75,15.70,15.76,Avance,Avance,"Musique, Voyage, Arts plastiques ",Informatique,Chimie,Travail en equipe,Informatique,10,5,Ingenierie informatique 
