Age ,Ville, Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
22,Rabat,,Homme,Sciences Physiques,"16,02","10,65","14,38",Avancé,Intermédiaire,"Lecture, Voyage, Cinéma",Physique,None,"Communication, Travail en équipe, Esprit critique",Physique,9,5
22,Meknes,,Homme,Sciences Physiques,11,"15,75","13,37",Avancé,Intermédiaire,"Voyage, Jeux vidéo, Bénévolat",Biologie,Mathématiques,"Communication, Travail en équipe, Gestion du temps",Droit,9,5
19,Salé,,Homme,Sciences Physiques,10,17,13,Intermédiaire,Débutant,"Sport, Musique, Voyage, Bénévolat",Marketing,Physique,"Communication, Travail en équipe, Gestion du temps, Adaptabilité",Economie,5,5
24,Temara,,Homme,Sciences Physiques,14,10,12,Intermédiaire,Intermédiaire,"Technologie (programmation, bricolage électronique, etc.),",Informatique,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership",Informatique,7,5
20,Berkane ,,Femme,Sciences Physiques,"12,82","17,66","15,5",Avancé,Débutant,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Informatique,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,8,5
22,Oujda,,Homme,Sciences et Technologies Électriques,"14,34","15,3","14,58",Avancé,Avancé,"Sport, Musique, Jeux vidéo, Anime",Physique,Littérature,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie",Ingénierie,8,4
19,Salé,,Homme,Sciences de la Vie et de la Terre,"9,06","13,85","11,44",Intermédiaire,Avancé,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique",Biologie,4,2
21,Fes,,Homme,Sciences Physiques,"15,28","16,5","16,41",Avancé,Avancé,"Sport, Musique, Voyage, Cinéma, Jeux vidéo, Bénévolat",Politiques internationales et publiques,None,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique",Sciences politiques,8,4
33,Mrirt,,Femme,Sciences Physiques,12,10,11,Avancé,Intermédiaire,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Chimie,10,4
18,Fes,,Homme,Sciences Mathématiques,"12,5",18,"15,5",Avancé,Intermédiaire,"Sport, Musique, Voyage, Cinéma, Jeux vidéo, Bénévolat",Physique,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Economie,8,3
24,Rabat,,Femme,Sciences Physiques,"16,98","13,9","16,14",Avancé,Avancé,"Lecture, Musique, Voyage, Cinéma, Jeux vidéo, Bénévolat, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingénierie,10,5
22,Taroudant,,Homme,Sciences Physiques,"16,42","16,92","16,67",Intermédiaire,Intermédiaire,"Sport, Voyage, Bénévolat",Informatique,Littérature,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Informatique,8,5
18,Agadir,,Femme,Sciences Physiques,12,15,12,Fluent,Fluent,"Lecture, Sport, Musique, Voyage, Cinéma, Bénévolat, Technologie (programmation, bricolage électronique, etc.), Ecriture",Langues,Physique,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingénierie,8,3
19,Salé,,Homme,Sciences Physiques,11,15,13,Avancé,Fluent,"Technologie (programmation, bricolage électronique, etc.)",Physique,None,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Esprit critique",Physique,8,4
23,Ouazzane,,Homme,Sciences Physiques,"18,03","13,5","16,81",Intermédiaire,Intermédiaire,"Lecture, Musique",Physique,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Esprit critique, Autonomie",Ingénierie,8,5
31,Meknes,,Femme,Sciences Physiques,"17,4","13,4","16,11",Avancé,Intermédiaire,Dormir,Chimie,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Empathie, Autonomie",Chimie,8,4
19,Fes,,Homme,Sciences Mathématiques,15,17,"16,67",Fluent,Avancé,"Lecture, Sport, Voyage, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Histoire,Physique,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Esprit critique, Autonomie",Economie,8,5
21,Salé,,Femme,Sciences Physiques,"16,7","17,85",17,Fluent,Avancé,"Lecture, Musique, Voyage, Cinéma, Bénévolat",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Leadership, Autonomie",Ingénierie,10,5
22,Sefrou,,Femme,Sciences Économiques,"12,6","13,25","13,51",Avancé,Débutant,"Musique, Voyage",Langues,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Résolution de problèmes, Leadership",Economie,8,4
20,Midelt,,Homme,Sciences Physiques,"16,47","16,5","16,7",Avancé,Intermédiaire,"Sport, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Physique,Mathématiques,"Communication, Travail en équipe, Gestion du temps, Créativité, Esprit critique",Informatique,7,3
24,Rabat,,Femme,Sciences Physiques,"15,01","16,31","15,51",Avancé,Intermédiaire,"Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Technologie (programmation, bricolage électronique, etc.)",Informatique,Histoire,"Communication, Travail en équipe, Gestion du temps, Créativité, Leadership",Economie,8,5
21,Rabat,,Femme,Sciences Mathématiques,"12,75","16,17","14,75",Avancé,Intermédiaire,"Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Créativité, Leadership",Ingénierie,8,4
24,Khouribga,,Femme,Sciences Physiques,17,17,17,Avancé,Avancé,"Lecture, Musique, Technologie (programmation, bricolage électronique, etc.)",Informatique,Physique,"Communication, Travail en équipe, Gestion du temps, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,9,5
23,Fes,,Femme,Sciences Physiques,"16,49","17,68","17,06",Fluent,Intermédiaire,"Musique, Voyage",Physique,None,"Communication, Travail en équipe, Gestion du temps, Leadership, Autonomie",Ingénierie,9,5
21,Casablanca,,Homme,Sciences Humaines,16,15,15,Avancé,Avancé,"Sport, Musique, Voyage, Jeux vidéo, Ecriture",Langues,Physique,"Communication, Travail en équipe, Gestion du temps, Résolution de problèmes, Leadership, Esprit critique",Sciences politiques,6,3
22,Rabat,,Homme,Sciences Physiques,12,12,"12,64",Intermédiaire,Avancé,"Musique, Voyage, Jeux vidéo, Bénévolat, Photographie",Langues,Physique,"Communication, Travail en équipe, Leadership",Economie,7,5
20,Tétouan ,,Homme,Sciences Physiques,10,11,"10,27",Intermédiaire,Intermédiaire,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.)",Informatique,Littérature,"Communication, Travail en équipe, Résolution de problèmes",Economie,7,2
23,Fes,,Homme,Sciences Physiques,"13,5","15,5",13,Avancé,Intermédiaire,"Lecture, Sport, Musique, Voyage, Photographie",Physique,Mathématiques,"Communication, Travail en équipe, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingénierie,6,4
25,Fes,,Femme,Sciences Physiques,"12,2","14,85","11,6",Intermédiaire,Débutant,"Arts plastiques (peinture, dessin, sculpture, etc.)",Langues,Physique,Créativité,Arts et design,7,5
20,Tétouan ,,Femme,Sciences de la Vie et de la Terre,"7,98","15,7","11,92",Avancé,Intermédiaire,Voyage,Hydraulique,Statistiques,Créativité,Ingénierie,6,4
25,Khouribga,,Femme,Sciences Physiques,12,"16,9","13,23",Avancé,Intermédiaire,"Musique, Voyage, Cinéma, Photographie",Biologie,None,"Créativité, Empathie, Autonomie",Biologie,7,3
18,El Hajeb,,Homme,Sciences Économiques,"10,15","13,45","11,77",Intermédiaire,Avancé,"Musique, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.)",Art,Histoire,"Créativité, Esprit critique, Aghlab hadchy maandish w 3ndi rohab jtima3i hhhhh",Economie,3,2
20,Ain Taoujdate,,Femme,Lettres,"16,83","12,86","15,86",Intermédiaire,Avancé,"Musique, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Histoire,Mathématiques,"Créativité, Résolution de problèmes, Esprit critique",Arts et design,2,1
19,Oujda,,Femme,Sciences Physiques,"12,1",13,"12,1",Avancé,Avancé,"Lecture, Sport, Musique, Voyage, Cinéma, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Créativité, Résolution de problèmes, Leadership",Éducation,9,3
19,Ain Dorij,,Homme,Sciences Physiques,"13,6","17,75","15,41",Intermédiaire,Intermédiaire,"Sport, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Ecriture, Chess",Mathématiques,Biologie,"Créativité, Résolution de problèmes, Leadership, Esprit critique",Economie,4,2
23,Fes,,Homme,Sciences Physiques,"13,5","13,5","13,5",Avancé,Intermédiaire,"Sport, Musique, Voyage, Cinéma, Jeux vidéo",Informatique,Biologie,"Empathie, Esprit critique",Physique,7,2
19,Meknes,,Homme,Sciences Physiques,"15,14","13,5","15,04",Intermédiaire,Débutant,"Sport, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Langues,"Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes",Informatique,6,4
19,Fes,,Femme,Sciences Physiques,"14,35","16,5","15,31",Avancé,Intermédiaire,"Sport, Musique, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Mathématiques,Histoire,"Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Autonomie",Economie,8,5
21,Casablanca,,Femme,Sciences de Gestion Comptable,"11,82","12,12",11,Avancé,Intermédiaire,Lecture,Philosofie,None,"Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Autonomie",Economie,5,3
28,Fes,,Homme,Sciences de la Vie et de la Terre,13,15,14,Intermédiaire,Fluent,"Lecture, Cinéma, Jeux vidéo",Langues,Physique,"Gestion du temps, Adaptabilité, Leadership",Sciences humaines et sociales,7,5
20,Fes,,Homme,Sciences et Technologies Électriques,"15,76","16,55","15,75",Avancé,Avancé,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Histoire,"Gestion du temps, Leadership",Informatique,8,5
31,Meknes,,Homme,Sciences Mathématiques,"12,5","10,5","11,85",Intermédiaire,Intermédiaire,"Sport, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Littérature,Leadership,Ingénierie,7,4
20,Midelt,,Femme,Sciences Physiques,"15,37","15,95","15,77",Avancé,Intermédiaire,"Lecture, Musique, Voyage",Informatique,Histoire,Résolution de problèmes,Réseau,9,4
21,Tantan,,Homme,Sciences Mathématiques,15,"14,5","15,3",Débutant,Débutant,Sport,Mathématiques,Littérature,Résolution de problèmes,Mathématiques appliquées,6,3
30,Salé,,Femme,Sciences Économiques,15,"6,86","11,45",Intermédiaire,Intermédiaire,Cinéma,Physique,Mathématiques,Résolution de problèmes,Economie,8,4
32,Immouzzer Kandar,,Femme,Sciences Physiques,"12,4",10,"11,8",Avancé,Intermédiaire,"Lecture, Sport, Cuisson",Physique,Chimie,"Résolution de problèmes, Esprit critique",Physique,7,4
20,Fes,,Homme,Sciences Physiques,"14,05","10,75","14,5",Intermédiaire,Avancé,"Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Physique,"Résolution de problèmes, Esprit critique",Informatique,9,5
21,Fes,,Femme,Sciences Physiques,"15,17","17,1","16,13",Avancé,Avancé,"Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Histoire,Travail en équipe,Ingénierie,8,4
31,El Hajeb,,Femme,Sciences de la Vie et de la Terre,14,12,13,Intermédiaire,Débutant,"Lecture, Musique, Cinéma",Informatique,Histoire,Travail en équipe,Biologie,5,2
20,Salé,,Homme,Sciences Économiques,14,13,15,Avancé,Intermédiaire,Sport,Mathématiques,Littérature,Travail en équipe,Economie,8,4
18,Sefrou,,Femme,Sciences de Gestion Comptable,"14,67","16,48","15,52",Avancé,Intermédiaire,"Musique, Voyage, Photographie",Comptabilité,Mathématiques,Travail en équipe,Economie,8,4
23,El Hajeb,,Femme,Sciences Physiques,17,"14,4","16,65",Intermédiaire,Intermédiaire,"Sport, Voyage, Photographie",Physique,Langues,"Travail en équipe, Adaptabilité",Ingénierie,7,4
21,Berkane ,,Homme,Sciences Physiques,"15,57","15,5","15,54",Avancé,Intermédiaire,Sport,Informatique,Littérature,"Travail en équipe, Adaptabilité",Informatique,7,4
18,Fes,,Femme,Sciences Économiques,"15,58","16,98",16,Avancé,Intermédiaire,"Voyage, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Informatique,Mathématiques,"Travail en équipe, Adaptabilité, Autonomie",Economie,7,4
21,Tanger,,Femme,Sciences Physiques,"14,28","17,75","17,39",Avancé,Intermédiaire,"Lecture, Voyage, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Mathématiques,Chimie,"Travail en équipe, Adaptabilité, Créativité, Leadership, Autonomie",Ingénierie,8,4
20,Berkane ,,Femme,Sciences Physiques,"13,58","13,9","14,58",Intermédiaire,Intermédiaire,"Lecture, Sport",Mathématiques,Histoire,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Informatique,5,4
